product_name;product_type;sales_volume;price;sale_time;date;platform;brand;reviews;rating
Compatible actuating portal;S?n ph?m công ngh?;2814;290,37;Tháng 12;16/11/2022;Shopee;Estée Lauder;583;4,4
Profound tertiary data-warehouse;Serum retinol;518;44,62;Tháng 7;19/03/2024;Lazada;Apple;736;1,2
Distributed dynamic methodology;Máy l?c không khí;3167;111,29;Tháng 2;29/01/2023;Shopee;Hada Labo;119;3,6
Realigned tangible extranet;?i?n t?;2255;267,05;Tháng 11;16/10/2024;Lazada;SNAILWHITE;982;3,4
Enterprise-wide attitude-oriented ability;S?n ph?m du l?ch;3610;199,5;Tháng 2;24/02/2024;Lazada;Benton;807;3
Focused well-modulated policy;Thi?t b? ?i?n t?;3350;390,41;Tháng 8;16/11/2022;Shopee;Nike;181;4,3
Self-enabling discrete function;?? gia d?ng;2476;454,33;Tháng 5;12/02/2024;Lazada;Pampers;306;3
Synergistic cohesive model;Th?c ph?m;4344;321,72;Tháng 4;19/09/2023;Shopee;Maybelline;607;3,7
Reactive composite product;M? ph?m Hàn Qu?c;1851;442,23;Tháng 7;15/05/2022;Shopee;Drunk Elephant;95;3
Reduced incremental policy;Sách;2547;284,19;Tháng 11;19/02/2022;Shopee;SkinCeuticals;329;3
Optional value-added throughput;Th?c ph?m s?ch;4225;233,05;Tháng 8;03/10/2024;Shopee;Dior;537;2,3
Multi-tiered secondary orchestration;D?u x?;3463;19,59;Tháng 5;10/08/2022;Shopee;Nestle;89;1,1
Grass-roots contextually-based methodology;S?n ph?m d??ng tóc;4033;473,65;Tháng 8;27/07/2024;Shopee;Revlon;321;1,6
Devolved hybrid database;S?n ph?m ch?ng gàu;2863;198,9;Tháng 11;08/07/2024;Lazada;Farsali;336;3,1
Secured radical data-warehouse;S?a t?m;1702;117,64;Tháng 10;20/10/2024;Shopee;Anastasia Beverly Hills;414;1,7
Phased zero-defect system engine;?i?n tho?i thông minh;2427;105,26;Tháng 7;08/03/2022;Shopee;SNAILWHITE;237;3,2
Fundamental executive installation;N??c hoa n?;4646;21,27;Tháng 11;10/01/2023;Lazada;The Inkey List;478;1,1
Profound discrete encryption;M? ph?m châu Âu;1123;28,04;Tháng 5;10/12/2023;Shopee;Glade;332;3,5
Inverse zero tolerance framework;Ph? ki?n th?i trang;4528;432,65;Tháng 11;19/11/2023;Lazada;Neutrogena;200;2,3
Programmable intermediate budgetary management;Bánh ng?t;1498;494,8;Tháng 5;07/11/2023;Shopee;Kraft;457;2,5
Vision-oriented intermediate Local Area Network;Th?c ph?m ch?c n?ng;1064;59,94;Tháng 4;07/06/2024;Lazada;Shiseido;525;2,1
Mandatory mobile groupware;N??c cân b?ng;4507;229,05;Tháng 4;06/09/2022;Shopee;Etude House;814;1,8
Customizable radical synergy;?? ?n nhanh;2071;215,15;Tháng 5;14/12/2021;Lazada;Benefit Cosmetics;447;4,9
Profound needs-based project;Son môi;1272;492,44;Tháng 4;13/08/2024;Lazada;H&M;417;4,2
Secured coherent Internet solution;?? ch?i;2390;14,86;Tháng 11;15/09/2022;Shopee;LG;610;1
Grass-roots systematic parallelism;Máy tính xách tay;4360;262,18;Tháng 4;13/04/2022;Shopee;Pond's;925;2,4
Cross-group user-facing Graphical User Interface;M? ph?m Hàn Qu?c;4375;322,48;Tháng 3;13/02/2023;Shopee;Maybelline;332;4,7
Pre-emptive analyzing parallelism;M?t n? d??ng da;3582;34,36;Tháng 11;09/12/2022;Shopee;Dove;905;3,7
Distributed heuristic utilization;Th?c ph?m s?ch;2773;164,09;Tháng 12;06/02/2023;Lazada;Nike;596;1,7
User-centric object-oriented database;Gia d?ng;938;426,29;Tháng 11;29/07/2023;Shopee;Nike;387;4,5
Pre-emptive web-enabled middleware;B?t ?n d?m;943;71,49;Tháng 5;30/03/2024;Shopee;Nike;617;1,4
Cloned maximized installation;S?n ph?m b?o v? môi tr??ng;3667;454,59;Tháng 10;28/05/2023;Lazada;Jojoba Oil;227;4,9
Innovative stable pricing structure;B? s?n ph?m ch?m sóc da;29;128,5;Tháng 1;02/10/2024;Lazada;Wella;644;1,3
Multi-lateral empowering approach;S?n ph?m ch?ng lão hóa;4995;223,14;Tháng 2;08/04/2023;Lazada;Shiseido;618;2,3
Networked 3rdgeneration Internet solution;Máy l?c không khí;329;315,2;Tháng 12;04/11/2021;Shopee;Clarins;447;1
Secured needs-based throughput;M? ph?m h?u c?;4401;424,49;Tháng 1;27/07/2023;Shopee;Avène;565;2,2
Operative stable standardization;Th?c ph?m ch?c n?ng;3799;311,75;Tháng 3;11/04/2023;Lazada;Dove Body Wash;314;3
Focused bifurcated circuit;N?i th?t;763;64,3;Tháng 5;08/09/2024;Lazada;Physiogel;222;4,4
Switchable national firmware;Kem d??ng;3731;385,47;Tháng 11;07/09/2022;Lazada;Pampers;862;3,5
Multi-lateral optimal service-desk;Bút k? mày;1750;497,39;Tháng 8;14/09/2024;Lazada;Laneige;246;3,2
Re-engineered intangible Internet solution;M? ph?m;3911;229,76;Tháng 4;07/02/2024;Lazada;Dell;331;2,6
Proactive modular circuit;Th?c ph?m s?ch;2153;362,42;Tháng 8;14/01/2024;Lazada;Shiseido;390;4,8
Versatile content-based installation;M? ph?m h?u c?;3558;440,01;Tháng 2;13/08/2022;Lazada;P&G;630;1,8
Reduced incremental migration;S?n ph?m gi?m thâm;3103;377,94;Tháng 5;17/10/2022;Lazada;Pond's;116;4,1
Intuitive real-time firmware;?? ch?i giáo d?c;1984;162,01;Tháng 5;18/05/2023;Shopee;Urban Decay;716;1,6
Enhanced systematic functionalities;S?n ph?m gi?m thâm;4957;114,99;Tháng 9;06/10/2024;Lazada;Estée Lauder;394;4
Balanced 24/7 customer loyalty;Máy l?c không khí;4454;398,86;Tháng 1;27/10/2023;Shopee;Benton;172;3,1
Open-source stable moderator;?? ch?i giáo d?c;1877;430,25;Tháng 12;27/03/2022;Lazada;Drunk Elephant;967;1,5
Inverse transitional initiative;N??c hoa;127;440,79;Tháng 8;03/09/2024;Shopee;Glade;593;2,8
Cross-platform demand-driven secured line;?? dùng tr? em;2349;88,8;Tháng 10;20/06/2024;Lazada;Adidas;53;3,1
Innovative non-volatile encoding;Máy s?y tóc;4255;257,64;Tháng 10;30/03/2023;Shopee;L'Occitane;978;4,1
Operative 24/7 archive;M? ph?m Nh?t B?n;4331;120,11;Tháng 11;09/09/2022;Lazada;The Ordinary;258;4,8
Sharable non-volatile standardization;M?t n? thiên nhiên;2282;430,58;Tháng 6;05/12/2023;Lazada;Fa;47;3,6
Polarized national contingency;N?i th?t;832;368,82;Tháng 1;14/12/2021;Shopee;Dell;730;3
Fundamental zero administration core;D?u t?y trang;2575;272,67;Tháng 9;28/11/2023;Shopee;Revlon Colorstay;719;3,9
Programmable human-resource open architecture;Máy tính xách tay;3039;82,02;Tháng 10;25/10/2022;Lazada;Dove;959;4,1
Multi-channeled multi-tasking migration;Máy làm ??p;3715;303,1;Tháng 11;27/09/2022;Shopee;Head & Shoulders;80;4,9
Object-based upward-trending workforce;S?n ph?m d??ng móng;4806;367,45;Tháng 3;08/09/2022;Shopee;L'Oreal Elvive;415;3,5
Pre-emptive 24hour framework;M?t n? thiên nhiên;3551;174,68;Tháng 6;18/07/2023;Lazada;Etude House;236;2,5
Quality-focused demand-driven moratorium;M? ph?m;1456;339,67;Tháng 11;16/09/2023;Lazada;P&G;487;1,2
Exclusive neutral definition;Máy tính xách tay;4626;467,89;Tháng 10;04/02/2024;Shopee;Coca-Cola;907;2,7
Adaptive fault-tolerant capacity;N?i th?t;4769;190,58;Tháng 7;05/03/2024;Lazada;Dove Body Wash;559;2
Re-contextualized maximized toolset;S?n ph?m công ngh?;526;248,78;Tháng 6;17/08/2024;Shopee;Neutrogena;313;1,8
Proactive disintermediate architecture;Kem d??ng;3363;474,07;Tháng 12;11/10/2024;Lazada;L'Oreal Elvive;681;3
Managed systemic help-desk;Gel lô h?i;339;422,79;Tháng 9;23/02/2024;Shopee;Revlon;347;2,4
Inverse user-facing protocol;S?n ph?m d??ng móng;208;201,4;Tháng 6;29/09/2022;Shopee;Huggies;801;4
Synergized secondary toolset;N??c hoa nam;1230;325,36;Tháng 8;06/08/2022;Shopee;Aveeno;734;4,8
Exclusive global solution;S?n ph?m ch?m sóc s?c kh?e;3151;222,13;Tháng 4;24/11/2023;Lazada;Shiseido;894;2,5
Sharable multimedia contingency;M?t n? thiên nhiên;4489;144,31;Tháng 9;22/01/2023;Lazada;Huda Beauty;440;3,4
Phased executive attitude;Th?i trang;3319;128,09;Tháng 1;15/04/2022;Lazada;Revlon Colorstay;656;4,4
Versatile multimedia support;?i?n tho?i thông minh;189;486,15;Tháng 6;21/05/2024;Shopee;Laneige;636;3,2
Horizontal solution-oriented neural-net;S?n ph?m gi?m thâm;2487;49,48;Tháng 5;05/06/2024;Shopee;Maybelline;901;1,5
Cross-group neutral ability;N?i th?t;3029;31,32;Tháng 9;25/04/2022;Shopee;Lancôme;959;1,7
Triple-buffered even-keeled help-desk;Serum retinol;3428;346,26;Tháng 1;22/04/2022;Shopee;Huggies;307;4,4
Down-sized coherent productivity;S?n ph?m làm s?ch;3448;152,02;Tháng 4;12/02/2024;Shopee;Laneige;785;1,6
Fundamental static migration;B? s?n ph?m ch?m sóc da;4721;305,83;Tháng 4;08/07/2024;Lazada;Urban Decay;444;3,8
Intuitive well-modulated policy;Sách;2619;189,7;Tháng 10;11/08/2023;Lazada;Benton;537;2,1
Intuitive web-enabled budgetary management;N?i th?t;1744;293,18;Tháng 4;05/07/2023;Lazada;Hada Labo;112;3,3
Intuitive background pricing structure;?? u?ng;2004;282,88;Tháng 3;20/05/2022;Lazada;Nike;870;3,3
Multi-layered bandwidth-monitored alliance;N??c cân b?ng;716;444,75;Tháng 6;24/02/2023;Shopee;Cosrx;508;4,1
Optimized didactic interface;?? ch?i giáo d?c;3457;103,76;Tháng 1;02/07/2022;Lazada;Freeman;496;3,2
Proactive local software;S?n ph?m công ngh?;1292;112,72;Tháng 10;04/07/2022;Lazada;Althea;996;4,2
Implemented web-enabled firmware;Tinh ch?t d??ng da;557;276,96;Tháng 5;18/08/2023;Lazada;Avène;370;3
Digitized interactive projection;M?t n? thiên nhiên;4119;142,45;Tháng 4;09/11/2022;Lazada;Shu Uemura;900;2,8
Devolved 5thgeneration flexibility;Kem ch?ng n?ng hóa h?c;534;50,52;Tháng 7;25/02/2023;Shopee;Nivea;738;3
Business-focused neutral success;Gel lô h?i;3594;115,16;Tháng 11;26/08/2024;Lazada;Too Faced;262;2,8
Versatile scalable access;S?n ph?m ch?m sóc s?c kh?e;1653;365,31;Tháng 6;30/09/2023;Lazada;Dior;571;1
Self-enabling scalable workforce;Máy làm ??p;503;396,27;Tháng 7;20/01/2022;Lazada;Coca-Cola;933;4,5
Operative intangible capability;M?t n? d??ng da;801;313,74;Tháng 8;26/02/2022;Shopee;Maybelline;130;3,4
Synergized multimedia projection;S?n ph?m b?o v? môi tr??ng;3624;412,39;Tháng 1;18/05/2022;Lazada;Fanta;107;4,5
Assimilated zero tolerance groupware;S?n ph?m gi?m thâm;743;103,6;Tháng 11;11/10/2022;Lazada;Physiogel;1;3,1
User-friendly client-server instruction set;Mì ?n li?n;1125;50,31;Tháng 8;14/01/2022;Shopee;L'Occitane;25;4
Upgradable multimedia success;S?n ph?m d??ng tóc;585;89,66;Tháng 6;13/07/2024;Lazada;Farsali;373;4,4
Enhanced radical leverage;Mì ?n li?n;2216;442,21;Tháng 9;02/11/2022;Lazada;Neutrogena;384;1,6
Persevering needs-based solution;D?u g?i;1023;274,44;Tháng 10;24/10/2023;Shopee;Revlon;921;2
Advanced 4thgeneration throughput;Túi xách;4081;217,82;Tháng 6;21/06/2022;Lazada;Nivea Men;496;2,6
Self-enabling client-driven extranet;?i?n t?;4412;406,07;Tháng 12;18/02/2023;Shopee;Kiehl's;220;3,8
Horizontal multi-tasking emulation;Kem m?t;4917;28,7;Tháng 6;20/08/2022;Shopee;L'Oréal;191;4,4
Face-to-face client-driven time-frame;M? ph?m;2329;151,54;Tháng 12;15/01/2022;Shopee;Maybelline;15;2,3
Public-key local info-mediaries;Kem d??ng;2330;339;Tháng 10;25/03/2022;Shopee;Yves Saint Laurent;475;4,5
Quality-focused analyzing alliance;S?n ph?m x?t khoáng;4328;359,52;Tháng 2;29/11/2022;Lazada;Drunk Elephant;220;3,2
Secured incremental forecast;M? ph?m Hàn Qu?c;1093;495,63;Tháng 5;09/01/2022;Lazada;Tarte Cosmetics;457;4,5
Horizontal responsive challenge;S?n ph?m b?o v? môi tr??ng;1133;26,45;Tháng 1;15/10/2022;Shopee;Jojoba Oil;402;1,3
Cross-group modular workforce;?? u?ng;3947;418,45;Tháng 6;03/07/2024;Lazada;Revlon Colorstay;432;2,5
Open-source explicit help-desk;Kem d??ng;158;61,14;Tháng 9;11/03/2024;Shopee;Kraft;477;1,9
Programmable bottom-line groupware;S?n ph?m làm s?ch sâu;1332;416,23;Tháng 2;02/11/2022;Lazada;Simple;43;4,5
Managed holistic customer loyalty;?? trang trí;2710;186,33;Tháng 8;26/07/2024;Shopee;Mason Jar;296;1
Automated asynchronous throughput;Tinh ch?t d??ng da;4377;285,51;Tháng 12;10/03/2022;Shopee;Dr. Jart+;409;2
Front-line interactive orchestration;?? ?n nhanh;3232;257,14;Tháng 10;26/03/2022;Shopee;Kose;756;1,1
Persistent multi-state complexity;?? dùng tr? em;3404;93,82;Tháng 11;19/06/2023;Shopee;O.P.I.;410;1,4
Operative static forecast;S?n ph?m x?t khoáng;4786;474,46;Tháng 8;21/08/2024;Lazada;Too Faced;203;1,2
Programmable disintermediate data-warehouse;Máy l?c không khí;2068;357,98;Tháng 7;10/07/2022;Shopee;Dove Men+Care;143;4
Total zero tolerance interface;S?n ph?m làm m?m da;1213;81,35;Tháng 12;08/09/2024;Shopee;Dr. Jart+;498;3,9
Re-contextualized actuating policy;?? g?;1976;10,54;Tháng 3;14/11/2021;Lazada;Lancôme;341;3,9
Quality-focused bifurcated framework;S?n ph?m t?p th? d?c;3468;344,95;Tháng 12;01/12/2021;Lazada;LG;988;4,6
Synchronized actuating support;?? ch?i giáo d?c;1304;138,87;Tháng 6;12/03/2022;Lazada;The Inkey List;250;4,2
Organized hybrid infrastructure;S?n ph?m ch?m sóc thú c?ng;1941;199,37;Tháng 3;27/01/2024;Shopee;Missha;76;1,6
Up-sized non-volatile product;Gel lô h?i;1926;252,96;Tháng 12;12/01/2022;Shopee;Simple;121;1,3
Extended national monitoring;?? b?i;1206;386,29;Tháng 9;17/07/2022;Lazada;L'Oreal Paris;508;4,6
Reduced reciprocal installation;Máy l?c không khí;3458;188,49;Tháng 1;08/11/2023;Lazada;Burt's Bees;534;1
User-centric clear-thinking definition;Th?c ph?m;4005;138,1;Tháng 11;12/11/2023;Shopee;Dior;319;3,4
Down-sized mobile flexibility;S?n ph?m t?p th? d?c;1323;499,64;Tháng 10;21/02/2023;Shopee;Drunk Elephant;98;2,4
Switchable modular knowledgebase;Giày dép;2260;445,49;Tháng 2;05/06/2024;Lazada;Dove Body Wash;742;4,1
Distributed non-volatile success;D?u x?;2594;294,14;Tháng 7;19/11/2021;Shopee;L'Occitane;583;2,6
Right-sized client-server portal;S?n ph?m làm s?ch sâu;3041;11,95;Tháng 5;02/11/2022;Lazada;Simple;279;3,3
Object-based multi-state installation;M? ph?m;1567;94,96;Tháng 5;11/03/2023;Lazada;Hada Labo;375;3,7
Balanced logistical system engine;?? ch?i;3416;415,81;Tháng 4;07/05/2024;Lazada;Lancôme;729;3
Visionary contextually-based toolset;D?u t?y trang;662;400,66;Tháng 8;29/12/2023;Lazada;Himalaya;57;3,1
Centralized user-facing intranet;M?t n? ng?;482;388,58;Tháng 8;26/01/2024;Lazada;Coca-Cola;433;4,1
Reduced demand-driven info-mediaries;M? ph?m h?u c?;3017;244,31;Tháng 10;03/07/2024;Shopee;Benton;191;1,1
Automated multi-state adapter;S?n ph?m t?p th? d?c;4936;286,92;Tháng 7;06/09/2022;Lazada;L'Oreal Paris;785;3
Intuitive radical architecture;M? ph?m châu Âu;4940;68,24;Tháng 4;12/02/2023;Lazada;Avène;530;4,9
Front-line zero tolerance firmware;Kem d??ng;2314;22,82;Tháng 12;21/10/2022;Shopee;Eucerin;898;1,7
Organic zero administration pricing structure;M? ph?m t? nhiên;3426;303,69;Tháng 12;05/02/2023;Lazada;Eucerin;457;2,8
Synergized dynamic structure;M?t n? ng?;3237;423,62;Tháng 5;19/09/2023;Shopee;TIGI;396;2,6
Distributed systematic support;N??c t?y trang;195;371,58;Tháng 7;07/08/2024;Shopee;L'Oréal Professionnel;678;3,8
Upgradable didactic conglomeration;S?n ph?m d??ng tóc;2;299,08;Tháng 3;22/10/2023;Lazada;Dell;698;4,2
Stand-alone system-worthy function;B? s?n ph?m ch?m sóc da;1423;125,63;Tháng 11;25/11/2021;Shopee;The Body Shop;241;2
Customizable full-range matrix;Thi?t b? gia ?ình;2555;279,53;Tháng 4;15/11/2023;Shopee;L'Oréal;286;3,7
Managed heuristic orchestration;M?t n? thiên nhiên;4979;135,48;Tháng 4;11/06/2024;Lazada;Simple;855;1,5
Profound reciprocal capacity;S?n ph?m ch?m sóc thú c?ng;1534;19,37;Tháng 12;05/12/2023;Shopee;Essie;113;2,8
Function-based intangible firmware;S?n ph?m d??ng tóc;1278;58,74;Tháng 9;01/04/2022;Lazada;Cosrx;556;3,2
Polarized client-server superstructure;S?n ph?m h? tr? sinh lý;1859;83,09;Tháng 2;11/10/2022;Shopee;Yves Rocher;264;3,5
Innovative stable parallelism;S?n ph?m làm ??p;3212;212,93;Tháng 10;20/10/2024;Shopee;Etude House;213;4,1
Advanced dedicated array;M? ph?m Hàn Qu?c;3544;412,79;Tháng 10;02/10/2023;Shopee;Urban Decay;395;3,9
Managed contextually-based info-mediaries;S?n ph?m gi?m cân;2328;404,11;Tháng 3;10/08/2024;Lazada;SNAILWHITE;377;2,5
Polarized eco-centric policy;Th?i trang;1111;472,89;Tháng 8;26/12/2023;Lazada;Clinique for Men;147;4
Vision-oriented fault-tolerant intranet;S?a t?m;2195;417;Tháng 11;18/09/2024;Shopee;Too Faced;709;4,1
Enterprise-wide web-enabled Graphic Interface;Ph? ki?n ?i?n tho?i;235;98,87;Tháng 8;14/08/2022;Lazada;Huggies;64;4,5
Multi-lateral didactic website;N?i th?t;2479;39,91;Tháng 6;09/01/2023;Shopee;LG;211;4,6
Enhanced eco-centric model;S?n ph?m làm s?ch sâu;1899;237,71;Tháng 8;14/07/2024;Shopee;Revlon Colorstay;94;2,9
Focused static system engine;Th?c ph?m ch?c n?ng;42;146,3;Tháng 5;23/03/2024;Lazada;Cosrx;895;4,2
Devolved dedicated access;S?n ph?m gi?m cân;309;11,83;Tháng 4;23/11/2022;Shopee;Clinique for Men;461;4,4
Fully-configurable 24hour forecast;?? dùng nhà b?p;4864;473,25;Tháng 6;24/12/2022;Lazada;Samsung;864;4,9
Distributed human-resource challenge;S?n ph?m gi?m cân;749;203,73;Tháng 2;03/10/2023;Lazada;SNAILWHITE;776;2,4
Horizontal clear-thinking attitude;Máy tính xách tay;4676;54,68;Tháng 6;28/04/2022;Lazada;Garnier;187;1,8
Optional composite circuit;?? trang trí;695;355,33;Tháng 5;07/03/2022;Lazada;Nivea Men;753;2,7
Operative optimal array;S?n ph?m làm s?n ch?c;4867;59,81;Tháng 8;08/12/2021;Lazada;Nestle;555;4,6
Streamlined secondary architecture;M?t n? d??ng da;3066;287,66;Tháng 9;10/08/2023;Lazada;Yves Rocher;406;2,1
Synergized neutral focus group;S?n ph?m ch?m sóc da m?t;2423;287,7;Tháng 1;05/05/2023;Shopee;CeraVe;748;4,4
User-centric encompassing matrix;S?n ph?m ch?m sóc s?c kh?e;2507;371,06;Tháng 12;03/06/2024;Shopee;Coca-Cola;745;3,2
Cross-platform encompassing algorithm;Bánh k?o;1021;108,47;Tháng 8;11/01/2022;Shopee;Dove;587;2
Focused bifurcated knowledgebase;Gel lô h?i;2037;336,47;Tháng 8;26/10/2024;Shopee;Garnier;337;2,2
Total modular extranet;M? ph?m Hàn Qu?c;1774;297,06;Tháng 3;13/02/2024;Shopee;The Inkey List;13;2,7
Robust 24/7 collaboration;N??c cân b?ng;3396;231,57;Tháng 7;09/06/2023;Shopee;Kraft;219;1,1
Public-key bandwidth-monitored open architecture;N??c hoa n?;3635;104,86;Tháng 10;16/12/2023;Lazada;LANEIGE;548;2,2
Inverse needs-based Internet solution;Serum retinol;4384;417,53;Tháng 7;09/01/2022;Lazada;Tatcha;193;3
Versatile zero tolerance throughput;Th?c ph?m s?ch;3024;374,75;Tháng 11;21/03/2022;Shopee;Dell;441;1,6
Enhanced non-volatile hierarchy;?? ch?i giáo d?c;4002;497,97;Tháng 6;28/12/2023;Shopee;Clarins;772;4,8
Up-sized optimal attitude;?? ch?i;1103;370,28;Tháng 8;23/02/2024;Shopee;Dove Purely Pampering;486;1
Monitored tangible middleware;?? b?i;2921;79,34;Tháng 3;08/08/2023;Shopee;Bobbi Brown;490;1,8
Business-focused fault-tolerant policy;?? dùng tr? em;4907;71,32;Tháng 8;28/05/2022;Shopee;Freeman;23;3,2
Automated disintermediate neural-net;?? b?i;4931;50,02;Tháng 6;22/11/2023;Shopee;Dove Purely Pampering;387;4,1
Intuitive multi-tasking interface;?? handmade;2036;458,1;Tháng 7;12/01/2023;Lazada;TRESemmé;543;3,9
Horizontal multi-state superstructure;S?n ph?m ch?m sóc s?c kh?e;170;64,94;Tháng 5;05/03/2022;Shopee;Benton;815;2,5
Implemented radical paradigm;Máy làm ??p;301;449,63;Tháng 7;22/08/2022;Lazada;The Body Shop;269;1,5
Cloned transitional Graphic Interface;Kem ch?ng n?ng hóa h?c;402;446,98;Tháng 8;05/07/2022;Shopee;CeraVe;820;3
Business-focused 4thgeneration open architecture;?? dùng h?c t?p;2977;306,51;Tháng 7;19/08/2022;Shopee;Dove;350;4,9
Networked intangible function;D?u x?;4778;450,15;Tháng 6;10/09/2023;Shopee;Aveeno;0;2,9
Proactive high-level attitude;Son môi;3402;61,03;Tháng 3;24/06/2022;Shopee;Laneige;274;5
Multi-layered system-worthy solution;B?ng ph?n m?t;1714;215,34;Tháng 8;04/08/2024;Shopee;Neutrogena;322;2,1
Diverse logistical instruction set;Ph?n ph?;2656;143,51;Tháng 3;21/11/2023;Shopee;Simple;349;4,2
Diverse modular functionalities;?? dùng nhà b?p;1319;447,02;Tháng 8;10/09/2024;Lazada;Biore;949;4,5
Proactive attitude-oriented system engine;S?n ph?m ch?m sóc s?c kh?e;1482;354,52;Tháng 5;08/06/2024;Shopee;Clinique for Men;104;1,9
Expanded foreground matrix;?? ch?i giáo d?c;3332;173,24;Tháng 5;19/01/2023;Lazada;Avène;751;1,8
Synergized executive framework;?? ch?i;638;155,37;Tháng 11;08/02/2023;Shopee;Tony Moly;22;3,1
